	title	content
0	Moeldoko Minta Kader PDIP Bantu Jawab Kritik Terhadap Jokowi - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Kepala Kantor Staf Kepresiden Moeldoko meminta kader Partai Demokrasi Indonesia Perjuangan (PDIP) untuk membantu menjawab kritik yang mengarah kepada Presiden Joko Widodo atau Jokowi. Contohnya, kritik ihwal pembangunan.Baca juga: Ombudsman Tegur Sikap Ngabalin Bela Jokowi, PDIP: Tugasnya Begitu""PDI Perjuangan harus bisa memberikan penjelasan di masyarakat, bahwa pembangunan infrastruktur di berbagai daerah itu tidak semata fisik saja,"" kata Moeldoko dikuti dari keterangan tertulis yang diterima Tempo, Sabtu, 1 September 2018.Pernyataan itu disampaikan Moeldoko dalam rapat koordinasi nasional (Rakornas) PDIP dalam rangka konsolidasi persiapan pemilu legislatif dan pemilihan presiden 2019. Rakornas diadakan di kantor Dewan Pimpinan Pusat PDIP, Jalan Diponegoro, Jakarta Pusat, Sabtu, 1 September 2018.Baca: PKB: Jokowi Belum Umumkan Ketua Timses Karena Asian Games 2018Moeldoko berujar, kritik yang menyebut bahwa pembangunan oleh Jokowi hanya berorientasi secara fisik saja, berasal dari cara pandang yang sempit. Sebagai contoh, ujar Moeldoko, pembangunan Mass Rapid Transit (MRT) turut membangun budaya antre dan tertib.Selain menjawab kritik, Wakil ketua Tim Kampanye Nasional Jokowi-Ma'ruf Amin itu juga meminta PDIP memberikan sejumlah gebrakan kebijakan Jokowi. Salah satu gebrakan itu, ujar Moledoko, terkait upaya Jokowi dalam mengentaskan kemiskinan.Baca: Fadli Zon: Jokowi Sudah Diberi Waktu 5 Tahun tapi Kenyataan Gagal""Dengan berbagai program seperti 92,2 juta KIS, 9,4 juta PKH, 3 juta bantuan pangan non tunai, 6,4 juta sertifikat, 1,7 juta lahan diberikan izin pengelolaan untuk rakyat miskin dalam program kehutanan sosial,"" ujar Moeldoko."
1	Dewan Pers: Perjuangan Leo Batubara Harus Tetap Dilanjutkan - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Dewan Pers akan terus memperjuangkan kemerdekaan pers Indonesia, seperti yang dilakukan mendiang Sabam Leo Batubara. Wakil Ketua Dewan Pers 2007-2010 itu terus berjuang mengawal kemerdekaan pers hingga akhir hayatnya.Baca: Leo Batubara Dijadikan Nama Ruang di Gedung Dewan Pers""Apa yang telah diperjuangkan oleh Bapak Leo, harus kita lanjutkan,"" ujar wakil ketua Dewan Pers Ahmad Jhanuar saat melepas jenazah Leo Batubara di Gedung Dewan Pers, Sabtu 1 September 2018.Menurut Ahmand, banyak teladan dan pelajaran yang diambil dari dedikasi Leo Batubara dalam memperjuangkan kemerdekaan pers. Di masa tuanya, kata Ahmad, Leo masih terlibat dalam penyelesaian pengaduan dan sangketa pers yang diterima oleh Dewan Pers. Leo selalu gigih berjuang agar media terhindar dari segala bentuk jeratan hukum.Baca: Sebelum Dimakamkan, Leo Batubara Akan Disemayamkan di Dewan Pers""Jadi, dalam penyelesaian sengketa, beliau selalu mengupayakan agar media terhindar dari hukuman, dan kepada yang bersangketa, beliau selalu tegas,"" ujarnya.Dewan Pers dan seluruh insan pers merasa kehilangan dengan wafatnya Leo. Di Dewan Pers, selain senior, Leo juga sudah seperti orang tua yang memberikan teladan. ""Kami, Dewan Pers merasakan kehilangan,"" ujarnya.Mantan Wakil Ketua Dewan Pers, Leo Batubara, berikan keterangan perihal pemeriksaan saksi ahli dewan pers yang diperiksa oleh penyidik Bareskrim Polri terkait majalah TEMPO di gedung dewan pers, Jakarta, 3 Maret 2015. Penyidik yang meminta keterangan ahli ada tiga orang. Tempo/Dian Triyuli HandokoAhmad menambahkan, Dewan Pers mendedikasikan nama Leo Batubara untuk sebuah ruangan pertemuan di Gedung Dewan Pers. Ruangan yang berada di lantai ketujuh itu kini bernama Kebebasan Pers Leo Batubara. Hal ini dilakukan untuk mengenang perjuangan dan kepergiannya.Baca: Jenazah Tokoh Pers Leo Batubara Dimakamkan di San Diego HillsMantan ketua Pers, Atmakusumah mengatakan Leo merupakan pejuang kebebasan pers Indonesia. Pengabdian tersebut tetap Leo tekuni hingga akhir masa hidup. ""Leo menunjukan dirinya memang pejuang pers, hingga akhir hidupnya masih mengamati situasi dan mengawal kebebasan pers,"" ujarnya.Leo Batubara wafat pada Rabu sore, 29 Agustus 2018, di Rumah Sakit Pusat Angkatan Darat Gatot Subroto. Leo dimakamkan di Pemakaman San Diego Hills, Karawang, Jawa Barat setelah disemayamkan di Gedung Dewan Pers, Sabtu, 1 September 2018."
2	Jokowi Beri Pengarahan kepada Caleg Partai NasDem - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Presiden Joko Widodo atau Jokowi hadir dalam acara pembukaan pekan orientasi calon legislatif Partai Nasional Demokrat atau NasDem di Hotel Mercure, Ancol, Jakarta, Sabtu, 1 September 2018.Baca juga: Merapat ke Jokowi - Ma'ruf, Deddy Mizwar: Pilih yang Lebih BaikJokowi tiba di Hotel Mercure sekitar pukul 20.30 WIB. Dalam acara ini, Jokowi akan memberikan pengarahan kepada para caleg NasDem. Namun, sesi pengarahan ini tertutup untuk media.Dalam acara tersebut, sebanyak 575 bakal calon legislatif tingkat Dewan Perwakilan Rakyat akan mendapat pembekalan selama 3 hari, 1-3 September 2018.Sejumlah artis Ibu Kota dari Partai NasDem berfoto bersama sebelum mendaftarkan diri menjadi bakal calon legislatif (caleg) di kantor KPU, Jakarta, Senin, 16 Juli 2018. NasDem mengajukan 20.391 calon anggota legislatif, mulai tingkat pusat, provinsi, kabupaten/kota, hingga DPD, di antaranya artis Nafa Urbach, Tessa Kaunang, Addies Adelia, dan Krisna Mukti. TEMPO/M Taufan Rengganis.Ketua DPP NasDem bidang Media dan Komunikasi Publik Willy Aditiya mengatakan para caleg akan diberikan orientasi mendasar tentang struktur dan cara kerja NasDem. ""Hal tersebut penting dilakukan mengingat beragamnya latar belakang para caleg,"" katanya saat ditemui di lokasi.Baca juga: Fadli Zon Imbau Jokowi Jangan Pakai Aparat Negara untuk KampanyeMenurut Willy, caleg NasDem berasal dari berbagai profesi dan latar belakang yang berbeda. Karena itu, kata Willy, penting untuk mengetahui ideologi politik NasDem.Selain itu, para caleg juga akan diberikan pemahaman tentang politik kebangsaan. NasDem akan mengundang semua perwakilan organisasi keagamaan untuk memperkuat ideologi politik kebangsaan dari para bacaleg. ""Salah satunya adalah Kiai Haji Ma'ruf Amin yang akan memberikan materi pembekalan politik kebangsaan,"" katanya.Simak pula: Deretan Caleg Partai NasDem, dari Bekas Menteri hingga ArtisKata Willy, NasDem menargetkan bisa meraih posisi tiga besar pada pemilihan legislatif 2019 dengan memperoleh 100 kursi DPR. ""Salah satu materi pembekalan adalah bagaimana strategi untuk berada di posisi tiga besar,"" ucapnya."
3	KPK Sebut Setya Novanto Tahu Pengaturan Suap Proyek PLTU Riau-1 - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Komisi Pemberantasan Korupsi (KPK) menyebut mantan Ketua Umum Partai Golkar Setya Novanto mengetahui proses pengadaan hingga pengaturan suap proyek PLTU Riau-1. Itu yang menjadi alasan KPK memeriksa Setya sebanyak dua kali dalam kasus ini.Baca: Kata Setya Novanto Soal Dugaan Aliran Suap PLTU Riau-1 ke Golkar""Pak SN mengetahui proses pengadaan proyek ini, termasuk yang berhubungan dengan pengaturan fee, suap dan lain-lain,"" kata Wakil Ketua KPK Laode M. Syarif di Kepulauan Seribu, Jakarta, Ahad, 1 September 2018.KPK juga memeriksa anak Setya, Rheza Herwindo pada Selasa, 28 Agustus 2018. Komisaris PT Skydweller Indonesia Mandiri itu diperiksa sebagai saksi untuk bekas pemegang saham Blackgold Natural Resources Limited, Johannes Budisutrisno Kotjo.Baca: Setya Novanto Bantah Terlibat Proyek PLTU Riau-1Laode mengatakan KPK memeriksa Rheza karena perusahaannya bekerja sama dengan Kotjo. Namun Laode enggan menjelaskan seperti apa kerja sama tersebut. ""Saya tidak bisa jelaskan detailnya tapi kami mengetahui antara tersangka penyuap dan perusahaan Skydweller punya kerja sama,"" kata dia.Kasus dugaan suap PLTU Riau mencuat seusai KPK menggelar operasi tangkap tangan terhadap Kotjo dan Eni Maulani Saragih yang saat itu masih menjabat sebagai Wakil Ketua Komisi Energi DPR, pada pertengahan Juli 2018. KPK menyangka Eni menerima suap dari Kotjo untuk memuluskan penandatanganan kerja sama proyek PLTU Riau.Baca: Alasan KPK Periksa Setya Novanto di Suap Proyek PLTU Riau-1Belakangan, KPK juga menetapkan Menteri Sosial Idrus Marham sebagai tersangka dalam kasus suap proyek PLTU Riau-1. Dia disangka bersama Eni Saragih menerima hadiah atau janji dari Kotjo untuk tujuan yang sama."
4	Fadli Zon: Jokowi Sudah Diberi Waktu 5 Tahun tapi Kenyataan Gagal - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Wakil Ketua DPR Fadli Zon menilai Presiden Joko Widodo atau Jokowi gagal memperbaiki Indonesia di segala aspek, khususnya aspek ekonomi.Baca: Kata Prabowo Soal Nilai Tukar Rupiah yang Terus Melemah""Pak Jokowi ini kan sudah diberi waktu 5 tahun untuk melakukan perubahan, perbaikan, tapi kenyataan gagal,"" kata Fadli di Hotel Grand Sahid Jaya, Jakarta Selatan pada Sabtu, 1 September 2018.Bahkan, secara terbuka, Fadli mengatakan, kebijakan ekonomi di era pemerintahan sekarang ini mengalami penurunan dibanding era Presiden Susilo Bambang Yudhoyono. Ia mencontohkan, pemerintah tak bisa mempertahankan nilai tukar rupiah yang sebelumnya sekitar Rp 11.000 kini mencapai Rp 14.700 per dolar Amerika Serikat.Baca juga: Prabowo Sebut Utang Pemerintah Naik Rp 1 Triliun Setiap HariWakil Ketua DPR itu juga menyoroti jumlah pengangguran yang menurut dia semakin banyak. ""Katanya pengangguran turun, dari mana turunnya?"" ucap Fadli. Sebelumnya, Badan Pusat Statistik (BPS) merilis tingkat pengangguran Indonesia pada Februari 2018 sebesar 5,13 persen. Angka ini jauh lebih baik dibandingkan Februari 2017 yang mencapai 5,33 persen.Fadli Zon optimistis Prabowo Subianto, Ketua Umum Partai Gerindra, yang kini maju sebagai calon presiden, memiliki jalan keluar untuk mengatasi permasalahan tersebut. Menurut Fadli, Prabowo telah menuangkan solusi permasalan itu dalam sebuah buku.Baca: Prabowo: Indonesia Terancam Menjadi Negara Miskin SelamanyaHari ini, Prabowo meluncurkan buku berjudul Paradoks Indonesia: Negara Kaya Raya, tetapi Masih Banyak Rakyat Hidup Miskin di Hotel Grand Sahid Jaya, Jakarta Selatan. Melalui bukunya, Prabowo menjelaskan bahwa Indonesia harus membangun kesadaran bersama mengenai data kemiskinan, demografi penduduk, serta gejolak dan kondisi sosial-ekonomi-politik yang mengkhawatirkan."
5	Merapat ke Jokowi - Ma'ruf, Deddy Mizwar: Pilih yang Lebih Baik - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Mantan Wakil Gubernur Jawa Barat, Deddy Mizwar, enggan bicara banyak mengenai keputusannya merapat ke kubu calon presiden dan wakil presiden, Joko Widodo-Ma'ruf Amin. Ia tak mau menyampaikan pertimbangannya karena tak ingin membandingkan antara Jokowi-Ma'ruf dan Prabowo Subianto-Sandiaga Uno. Baca: Masuk Tim Jokowi, Deddy Mizwar Diminta Mundur dari Demokrat""Biarkan saya dengan persepsi saya,"" kata Deddy di posko pemenangan Jokowi-Ma'ruf, Rumah Cemara Nomor 19, Jalan Cemara, Menteng, Jakarta, Sabtu, 1 September 2018.Namun, kata Deddy, dalam ajaran agama, ada panduan untuk memilih pemimpin yang tepat. ""Pilih yang lebih baik dan minimal yang buruknya sedikit,"" ujar politikus Partai Demokrat ini.Sikap politik Deddy yang merapat ke kubu Jokowi-Ma'ruf menjadi sorotan, lantaran Partai Demokrat mendukung Prabowo-Sandiaga. Terkait dengan pilihannya itu, ia meminta semua pihak bisa menghargai satu sama lain. ""Saya enggak bisa paksakan kehendak saya ke Anda,"" ucapnya. Baca: Pengamat: Deddy Mizwar Jadi Strategi Jokowi Kuasai Jawa BaratMeski mendukung kubu yang berseberangan dengan Partai Demokrat, Deddy mengatakan masih berkomunikasi baik dengan partainya. Ia berencana menyampaikan langsung sikap politiknya ini ke jajaran pengurus pusat Partai Demokrat. ""Insya Allah, 9 September, kalau saya diundang di ulang tahun Demokrat, saya akan hadir. Saya akan datang dan menjelaskan sikap politik saya,"" katanya.Di kubu Jokowi-Ma'ruf, Deddy disebut-sebut bakal menjadi salah satu juru bicara tim kampanye. Namun belum ada keputusan terkait dengan hal itu.Menurut Deddy, kedatangannya di Rumah Cemara ini baru sebatas membicarakan hal itu. ""Ini baru penjajakan, belum jelas ini barang. Makanya kami lagi serap. Ini belum ada suratnya ini (surat penugasan),"" katanya. Baca juga: Kadernya Dibajak Kubu Jokowi, Partai Demokrat: Namanya Juga UsahaDeddy Mizwar menuturkan, saat ini, ia sedang belajar soal konsep arus ekonomi baru Indonesia yang ditawarkan pasangan Jokowi-Ma'ruf. Sebab, ke depan, ia akan lebih sering mendampingi Ma'ruf Amin. ""Saya juga sedang minta arahan tentang pemikiran yang dapat kami sampaikan,"" ucapnya."
6	Kata Prabowo Soal Nilai Tukar Rupiah yang Terus Melemah - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Calon presiden, Prabowo Subianto berpendapat melemahnya nilai tukar rupiah lantaran ekonomi Indonesia tidak kunjung menguat. Hari ini nilai tukar rupiah berada pada Rp 14.700.Baca: Prabowo Sebut Utang Pemerintah Naik Rp 1 Triliun Setiap Hari""Mata uang kita tidak kuat karena ekonomi kita tidak kuat,"" ujar Prabowo saat ditemui di Hotel Shahid Jaya di Jakarta Selatan, Sabtu 1 September 2018.Prabowo menilai ekonomi Indonesia tidak akan menguat selama produksi dan kekayaan dalam negeri mengalir ke luar negeri. Menurut Prabowo, harus ada perubahan sistem ekonomi untuk memperbaiki kondisi ekonomi semakin sulit.Baca: Hadiri Acara Bedah Buku, Prabowo Berasa di Acara KampanyeSelain perubahan ekonomi, dia melanjutkan, sistem politik di dalam negeri juga harus diperbaiki. ""Setiap lapisan harus memiliki kesadaran untuk perubahan pada sistem ekonomi dan politik, situasi ekonomi hari ini sulit,"" ujarnya.Prabowo berpendapat, faktor lain yang membuat ekonomi di dalam negeri lemah adalah utang luar negeri Indonesia. Menurut dia, setiap hari, utang Indonesia naik Rp 1 triliun.Utang yang semakin naik itu, kata Prabowo, membuat ketimpangan antara orang kaya dan orang miskin di Indonesia. Jika keadaan ini terus-menerus tak diperbaiki, ia melanjutkan, Indonesia bisa menjadi negara miskin. ""Pertumbuhan ekonomi tidak naik,"" ujarnya.Baca juga: Cerita Prabowo soal Dukungan Anak Muda yang Membuatnya TerharuKarena itu, Prabowo mengatakan, pemerintah harus kembali ke undang-undang yang mengatur kekayaan dalam negeri. ""Kembali taat ke undang-undang,"" ujarnya."
7	Jokowi: Indonesia Segera Ajukan Diri Tuan Rumah Olimpiade 2032 - nasional Tempo.co	"	 TEMPO.CO, Bogor - Presiden Joko Widodo atau Jokowi menerima kunjungan Presiden Dewan Olimpiade Asia (OCA) Fahad Al-Sabah dan Presiden Komite Olimpiade International (IOC) Thomas Bach di Istana Kepresidenan Bogor, Jawa Barat, Sabtu, 1 September 2018. Selain membahas tentang penyelenggaraan Asian Games 2018, ketiganya terlibat pembicaraan tentang Olimpiade 2032.Baca: Ombudsman Tegur Sikap Ngabalin Bela Jokowi, PDIP: Tugasnya BegituJokowi menuturkan Bach dan Al-Sabah kagum atas kesuksesan Indonesia menjadi tuan rumah Asian Games 2018. Karena itu, pemerintah Indonesia yakin bisa menjadi tuan rumah untuk perhelatan yang lebih besar dari Asian Games. ""Indonesia berencana secepatnya mengajukan diri sebagai kandidat tuan rumah olimpiade 2032,"" kata Jokowi saat konferensi pers.Jokowi berujar Bach dan Al-Sabah menilai Indonesia tidak hanya sukses dalam penyelenggaraan Asian Games, tapi juga mampu menunjukkan animo masyarakat yang besar. ""Yang beliau hargai partisipasi masyarakat, volunteers, yang dengan jumlah besar bisa digerakkan, diorganisasi. Ini modal kuat,"" ucapnya.Baca: Indonesia - Australia Siap Teken Perjanjian IA - CEPA NovemberBach mendukung langkah Indonesia yang hendak mengajukan diri sebagai tuan rumah Olimpiade 2032. ""Selamat pak Presiden atas kesuksesan Asian Games. IOC juga mengapresiasi (niat Indonesia) mengajukan diri di Olimpiade 2032,"" ujar Bach.Menurut Bach, dalam perhelatan Asian Games ke-18 ini, Indonesia telah menunjukan kesuksesan di berbegai aspek yang diperlukan jika ingin menjadi tuan rumah olimpiade. Salah satunya adalah partisipasi masyarakat."
8	Gelar Rakornas, PDIP Hadirkan Ma'ruf Amin sebagai Pembicara - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Partai Demokrasi Indonesia Perjuangan atau PDIP menggelar rapat koordinasi nasional dalam rangka konsolidasi persiapan pemilu legislatif dan pemilihan presiden 2019. Rakornas diadakan di kantor Dewan Pimpinan Pusat PDIP, Jalan Diponegoro, Jakarta Pusat, Sabtu, 1 September 2018.Baca: Dituduh Membajak Kader Demokrat, Hasto PDIP: Harusnya IntrospeksiAcara tersebut dihadiri Ketua Umum PDIP Megawati Soekarnoputri dan calon wakil presiden Ma’ruf Amin, serta seluruh DPD, diwakili oleh ketua, sekertaris, bendahara, dan ketua bidang pemilu.Wakil Sekretaris Jenderal PDIP Ahmad Basarah mengatakan rakornas bertujuan untuk berkoordinasi dengan Ma’ruf. “Pemikiran-pemikiran kenegarawanan beliau akan kami terjemahkan dalam bahasa untuk kalangan nasionalis,” kata Ahmad di lokasi acara.Pemikiran kenegarawanan yang dimaksud adalah pemikiran Islam yang merupakan latar belakang Ma'ruf sebagai ulama. Tujuannya untuk diimplementasikan agar lebih mudah diserap golongan nasionalis. Sebab, diakui Basarah, segmentasi pemilih Jokowi-Ma’ruf terbagi dua, yakni dari kalangan nasionalis dan Islam.Baca: Ombudsman Tegur Sikap Ngabalin Bela Jokowi, PDIP: Tugasnya BegituSekretaris Jenderal PDIP Hasto Kristiyanto mengatakan ada tiga materi lain yang akan disampaikan hari ini, yaitu arahan dari Megawati soal semangat patriotik, dan kepemimpinan berdasarkan ideologi Pancasila, pembekalan strategi kampanye mikro, dan pembekalan bagi para calon legislatif dari Jokowi.“Akan dirumuskan tahap pemenangan untuk seluruh koalisi pemenangan Indonesia, kerja bersatu-padu, kemudian disampaikan pada rakyat sebuah optimisme besar di bawah Jokowi-Ma’ruf,” ucap Hasto."
9	Rumah Cemara, Dari Posko Jokowi - JK Hingga Jokowi - Ma'ruf - nasional Tempo.co	"	 TEMPO.CO, Jakarta - Tim koalisi pengusung pasangan Joko Widodo atau Jokowi - Ma'ruf Amin pada pemilihan presiden 2019 memilih rumah yang disebut posko Cemara sebagai pusat kegiatan kampanye. Disebut posko Cemara karena tempat ini terletak di Jalan Cemara Nomor 19, Menteng, Jakarta Pusat.Baca: Demokrat Sebut Deddy Mizwar Belum Menjadi Jubir Jokowi - Ma'rufKepala Sekretariat posko Cemara, Garda Maharsi, kepada Tempo mengatakan rumah ini difungsikan sebagai media center dimana awak media dan beberapa tokoh dari Tim Kampanye Nasional (TKN) Jokowi - Ma'ruf dapat berhubungan. ""Tempat ini sangat terbuka bagi temen-temen wartawan,"" kata Garda di posko Cemara, Jumat, 31 Agustus 2018.Ia mengatakan, posko Cemara sebelumnya pernah menjadi pusat pemenangan elektoral dalam kegiatan-kegiatan politik. ""Pernah dipakai untuk pusat kampanye Jokowi - JK di pilpres 2014 dan pemilihan gubernur DKI 2017 untuk pasangan Basuki Tjahaja Purnama alias Ahok dan Djarot,"" ujar Garda.Dari pantauan Tempo, posko Cemara berwujud hampir sama dengan rumah dua lantai kelas menengah-atas pada umumnya, tidak terlihat seperti kantor untuk kegiatan-kegiatan administratif. Gerbang besar dua pintu senantiasa tertutup dikawal beberapa penjaga. Izin masuk bagi awak media baru diberikan setelah menunjukkan tanda pers. ""Memang ini rumah, ya, cuma peruntukannya saja untuk kantor,"" ujar Garda.Baca: Erick Thohir Tak Mau Komentar Soal Tim Sukses JokowiJika tidak ada pemilihan umum, Garda mengatakan posko Cemara sering digunakan untuk berbagai aktivitas seperti media analisis dan monitoring yang berkaitan dengan politik. ""Tapi umumnya tempat ini digunakan untuk event yang sifatnya persiapan di proses elektoral pilgub maupun pilpres,"" tuturnya.Posko Cemara, kata Garda, memiliki enam ruang rapat. Selain itu, posko ini juga memiliki beberapa ruang yang digunakan untuk diskusi, rapat, dan konferensi pers. ""Halaman belakang kami siapkan bagi para awak media semacam ruangan bebas terbuka,"" tuturnya."
